ID,math9,math9_score,math10,math10_score,eng9,eng9_score,eng10,eng10_score,hist9,hist9_score,bio9,bio_score,phys10,phys10_score,chem11,chem11_score,Gender,Counselor,ELL_Status,Double_Math,FRPL_Status,Grade_Level,Home_Language,Date_of_Birth,Race_Ethnicity,Transfer_Student,Special_Education_Status,schoolName
2240048,1,64.729999542236328,3,63.579998016357422,1,42.817499876022339,1,83.115001678466797,1,52.205000877380371,2,22.469999313354492,1,71.369998931884766,1,60.469999313354492,1,25,False,1,2,11,1,2006-07-24,3,False,False,0
2240049,1,37.170000553131104,0,,1,75.020000457763672,1,81.869998931884766,1,86.895000457763672,1,80.854999542236328,0,,0,,0,25,False,0,1,11,1,2005-12-30,3,False,False,0
2240050,1,92.354999542236328,1,90.194999694824219,2,94.924999237060547,2,91.424999237060547,2,87.795001983642578,1,95.504997253417969,1,94.360000610351563,1,79.895000457763672,0,25,False,0,3,11,0,2006-02-17,5,False,False,0
2240051,1,66.095001220703125,1,85.994998931884766,1,33.529999971389771,2,80.740001678466797,2,61.585000991821289,1,79.286666870117188,1,84.229999542236328,1,45.360001564025879,1,25,False,0,1,11,0,2005-11-26,3,False,False,0
2240051,1,66.095001220703125,1,85.994998931884766,2,66.830001831054688,2,80.740001678466797,2,61.585000991821289,1,79.286666870117188,1,84.229999542236328,1,45.360001564025879,1,25,False,0,1,11,0,2005-11-26,3,False,False,0
2240056,1,93.745002746582031,1,97.685001373291016,2,92.55999755859375,2,99.325000762939453,2,99.505001068115234,2,97.729999542236328,2,91.420001983642578,2,98.215000152587891,1,25,False,0,2,11,0,2006-03-03,3,False,False,0
2240061,1,72.569997787475586,1,61.334999084472656,1,65.825000762939453,1,70.125,1,69.104999542236328,1,68.869998931884766,1,68.254999160766602,1,3.9700000286102295,1,25,False,0,3,11,0,2005-09-14,3,False,False,0
2240069,1,87.729999542236328,1,91.324996948242188,2,91.93499755859375,2,96.930000305175781,2,79.869998931884766,2,94.444999694824219,2,81.889999389648438,0,,0,25,False,0,2,11,1,2006-01-27,3,False,False,0
2240074,1,45.350000381469727,0,,2,34.455000400543213,5,65,2,53.889999389648438,2,60,0,,0,,1,25,False,0,3,11,1,2005-08-13,3,False,False,0
2240074,1,45.350000381469727,0,,2,34.455000400543213,1,75,2,53.889999389648438,2,60,0,,0,,1,25,False,0,3,11,1,2005-08-13,3,False,False,0
2240076,1,73.604999542236328,3,66.724998474121094,1,80.075000762939453,1,88.040000915527344,1,74.25,1,73.239997863769531,1,62.799999237060547,1,47.919998168945313,0,25,False,1,2,11,1,2005-12-07,3,False,False,0
2240077,1,57.51500129699707,0,,1,46.374999284744263,5,65,1,52.940000534057617,1,41.735001087188721,0,,0,,0,25,False,0,3,11,1,2006-03-20,3,False,False,0
2240079,1,53.684999465942383,1,69.365001678466797,1,47.275001525878906,1,57.159999847412109,1,62.165000915527344,1,61.385000228881836,0,,0,,0,25,False,0,1,11,0,2005-12-30,3,False,False,0
2240080,1,70.620002746582031,1,94.055000305175781,2,92.139999389648438,2,93.825000762939453,2,68.550003051757813,2,75,0,,0,,0,25,False,0,3,11,0,2006-04-13,5,False,False,0
2240080,1,70.620002746582031,1,94.055000305175781,2,92.139999389648438,2,93.825000762939453,1,82.680000305175781,2,75,0,,0,,0,25,False,0,3,11,0,2006-04-13,5,False,False,0
2240087,1,79.775001525878906,3,89.970001220703125,1,78.81500244140625,1,88.299999237060547,1,90.319999694824219,1,90.799999237060547,1,73.764999389648438,1,75.209999084472656,1,25,False,0,3,11,0,2006-08-17,3,False,False,0
2240089,1,75.970001220703125,1,70.245000839233398,1,88.879997253417969,1,92.885002136230469,1,82.984996795654297,1,80.659999847412109,1,71.965000152587891,1,68.180000305175781,0,25,False,0,2,11,0,2006-01-04,5,False,False,0
2240091,1,56.639999389648438,3,68.419998168945313,1,79.830001831054688,1,64.530000686645508,1,68.30999755859375,1,73.584999084472656,1,61.67500114440918,0,,1,22,False,1,3,11,0,2006-07-07,5,False,False,0
2240093,1,11.199999779462814,0,,1,31.010000228881836,5,65,1,30.480000436306,1,31.170001029968262,0,,0,,1,25,False,0,3,11,1,2006-04-11,3,False,False,0
2240093,1,11.199999779462814,0,,1,31.010000228881836,1,85,1,30.480000436306,1,31.170001029968262,0,,0,,1,25,False,0,3,11,1,2006-04-11,3,False,False,0
2240096,1,65.130001068115234,1,70.549999237060547,2,79.935001373291016,2,94.55999755859375,2,74.059999465942383,2,85,2,68.150001525878906,2,63.460000991821289,0,25,False,0,1,11,1,2006-06-04,3,False,False,0
2240099,1,83.25,1,90.055000305175781,1,65.044998168945313,1,86.479999542236328,1,68.029998779296875,1,79.470001220703125,1,82.630001068115234,0,,1,25,False,0,3,11,0,2006-03-13,3,False,True,0
2240100,1,64.635000228881836,3,71.889999389648438,1,78.614997863769531,1,76.229999542236328,1,69.069999694824219,1,87.764999389648438,1,76.889999389648438,0,,0,25,False,1,1,11,0,2005-10-21,5,False,False,0
2240104,1,55.114999771118164,0,,1,8.4600000381469727,5,65,1,67.415000915527344,1,64.340000152587891,0,,0,,1,25,False,0,3,11,0,2005-09-28,5,False,False,0
2240107,1,35.759999752044678,1,34.659999847412109,1,62.655000686645508,1,72.389999389648438,1,54.236667633056641,1,61.010000228881836,1,46.276666641235352,0,,0,25,True,0,3,11,0,2006-05-15,3,False,True,0
2240107,1,35.759999752044678,3,59.860000610351563,1,62.655000686645508,1,72.389999389648438,1,54.236667633056641,1,61.010000228881836,1,46.276666641235352,0,,0,25,True,0,3,11,0,2006-05-15,3,False,True,0
